red_team_p1_id,red_team_p2_id,yellow_team_p1_id,yellow_team_p2_id,red_team_goals,yellow_team_goals,red_won,played_on
11,5,6,17,10,3,true,'2017-09-25 18:40:05.556000'
17,5,4,2,10,7,true,'2017-09-25 19:15:29.395000'
2,4,17,5,9,10,false,'2017-09-25 19:30:35.256000'
2,12,11,5,8,10,false,'2017-09-25 19:44:29.809000'
12,10,17,11,10,6,true,'2017-09-25 20:00:56.786000'
8,11,16,3,10,8,true,'2017-09-26 13:59:35.940000'
8,11,3,6,10,9,true,'2017-09-26 14:00:14.378000'
8,6,4,5,10,6,true,'2017-09-26 15:07:56.734000'
8,6,4,5,10,8,true,'2017-09-26 15:08:11.171000'
8,6,1,7,10,9,true,'2017-09-26 18:58:33.007000'
8,6,16,3,9,10,false,'2017-09-26 19:41:40.418000'
4,18,10,5,4,10,false,'2017-09-26 20:19:47.899000'
1,7,8,6,10,6,true,'2017-09-27 15:06:01.697000'
1,7,8,6,10,8,true,'2017-09-27 15:06:09.843000'
1,6,10,17,10,3,true,'2017-09-27 15:06:33.782000'
5,4,17,12,10,9,true,'2017-09-27 16:20:06.533000'
1,7,11,3,10,8,true,'2017-09-27 18:17:56.170000'
17,11,5,4,10,3,true,'2017-09-27 18:48:53.392000'
17,11,5,4,4,10,false,'2017-09-27 18:54:09.562000'
7,1,4,5,10,5,true,'2017-09-27 19:01:40.769000'
1,2,8,16,10,5,true,'2017-09-28 13:30:20.551000'
1,2,6,8,10,4,true,'2017-09-28 13:41:47.373000'
3,16,8,6,10,5,true,'2017-09-28 13:58:00.536000'
1,6,2,11,4,10,false,'2017-09-28 14:19:50.299000'
1,6,3,8,10,5,true,'2017-09-28 18:20:04.434000'
4,10,5,17,8,10,false,'2017-09-28 18:29:35.765000'
4,10,5,17,10,7,true,'2017-09-28 18:30:33.932000'
10,4,17,5,8,10,false,'2017-09-28 20:36:48.037000'
17,5,10,4,10,9,true,'2017-09-28 20:37:03.021000'
8,1,6,16,7,10,false,'2017-09-29 12:58:28.022000'
8,1,6,16,10,7,true,'2017-09-29 12:59:26.420000'
1,19,2,6,10,5,true,'2017-09-29 13:24:21.190000'
1,3,6,8,10,8,true,'2017-09-29 13:29:19.275442'
2,12,16,8,10,7,true,'2017-09-29 14:09:04.962000'
6,1,2,12,10,6,true,'2017-09-29 14:23:15.368000'
1,6,2,17,10,7,true,'2017-09-29 14:48:11.449000'
17,5,4,10,9,10,false,'2017-09-29 15:10:18.860000'
8,3,1,4,9,10,false,'2017-09-29 18:26:50.001000'
10,3,1,8,8,10,false,'2017-09-29 19:09:09.028000'
1,8,10,5,10,9,true,'2017-09-29 19:09:39.704000'
19,1,12,6,10,7,true,'2017-09-29 19:34:24.277000'
10,4,12,5,5,10,false,'2017-09-29 19:55:40.849000'
2,10,5,4,10,5,true,'2017-09-29 20:10:30.083000'
2,6,10,4,10,9,true,'2017-09-29 20:52:28.674000'
12,5,11,2,10,7,true,'2017-09-29 21:17:13.824000'
2,11,5,12,8,10,false,'2017-09-29 21:33:37.296000'
10,5,2,4,8,10,false,'2017-09-29 23:25:10.242000'
16,11,8,7,10,7,true,'2017-10-02 13:43:52.213000'
16,11,8,7,10,9,true,'2017-10-02 13:44:04.950000'
5,17,4,10,6,10,false,'2017-10-02 15:26:09.931000'
3,16,4,8,1,10,false,'2017-10-02 18:15:56.526574'
1,19,6,7,10,7,true,'2017-10-02 18:46:42.781000'
2,11,10,4,10,5,true,'2017-10-02 19:52:34.181000'
1,7,16,2,10,7,true,'2017-10-03 13:55:50.904000'
2,8,19,16,10,5,true,'2017-10-03 14:15:17.509000'
2,8,6,1,8,10,false,'2017-10-03 14:36:24.004000'
4,18,5,17,1,10,false,'2017-10-03 15:05:23.277000'
5,17,4,18,10,5,true,'2017-10-03 15:06:15.739000'
4,10,5,17,6,10,false,'2017-10-03 19:12:10.519000'
1,7,2,6,10,9,true,'2017-10-03 19:36:14.650000'
6,7,2,1,6,10,false,'2017-10-04 14:56:50.237000'
17,11,12,4,4,10,false,'2017-10-04 15:09:55.622000'
2,8,1,6,5,10,false,'2017-10-04 19:04:03.777000'
8,2,6,4,10,9,true,'2017-10-04 19:20:59.206000'
2,16,1,8,10,5,true,'2017-10-05 13:51:20.181000'
1,8,2,16,9,10,false,'2017-10-05 14:07:24.603000'
2,7,1,6,5,10,false,'2017-10-05 14:45:20.124000'
2,10,16,5,6,10,false,'2017-10-05 15:03:49.259000'
8,16,6,7,10,8,true,'2017-10-06 10:59:14.820000'
2,7,6,1,9,10,false,'2017-10-06 13:32:59.816000'
8,16,6,4,10,9,true,'2017-10-06 15:01:27.153000'
2,20,4,5,9,10,false,'2017-10-06 15:46:24.859736'
8,16,2,11,7,10,false,'2017-10-06 19:51:43.575000'
7,6,1,17,10,6,true,'2017-10-06 20:08:54.659000'
16,8,2,17,7,10,false,'2017-10-06 20:29:48.140000'
2,17,8,16,10,4,true,'2017-10-06 20:45:36.165000'
8,6,16,7,10,8,true,'2017-10-09 10:33:25.861000'
1,8,12,7,10,5,true,'2017-10-09 13:59:15.905000'
6,7,1,8,1,10,false,'2017-10-09 14:21:00.038000'
6,7,12,16,4,10,false,'2017-10-09 19:03:27.878777'
5,17,4,18,10,6,true,'2017-10-09 20:13:03.969000'
4,18,5,17,9,10,false,'2017-10-09 20:14:26.636000'
8,6,16,7,7,10,false,'2017-10-10 09:28:36.749000'
12,3,6,7,5,10,false,'2017-10-10 13:25:07.738000'
6,8,12,3,9,10,false,'2017-10-10 13:30:47.544000'
6,8,2,7,10,6,true,'2017-10-10 13:49:24.813000'
